Region,Females 0 to 4 (2031 Projection,Females 5 to 9 (2031 Projection),Females 10 to 19 (2031 Projection),Females 20 to 29 (2031 Projection),Females 30 to 39 (2031 Projection),Females 40 to 49 (2031 Projection),Females 50 to 59 (2031 Projection),Females 60 to 69 (2031 Projection),Females 70 plus (2031 Projection),Males 0 to 4 (2031 Projection),Males 5 to 9 (2031 Projection),Males 10 to 19 (2031 Projection),Males Age 20-29 (2031 Projection),Males Age 30-39 (2031 Projection),Males Age 40-49 (2031 Projection),Males Age 50-59 (2031 Projection),Males Age 60-69 (2031 Projection),Males 70 plus (2031 Projection)
East,181479,190299,394951,351904,383976,451760,412015,448766,623496,190120,199650,415521,378958,390326,439305,401890,425827,523804
East Midlands,134967,138822,300102,304095,291661,329038,301119,348706,467667,141509,146049,314601,321952,302995,318299,291076,332402,402156
London,298744,282509,555357,712854,723185,684643,577458,481257,545991,313632,296938,585895,703598,788700,744381,591399,455825,446011
North East,69802,71291,153514,171921,159533,175153,159322,190478,261204,73287,74719,162207,180939,162820,166963,149437,175997,218750
North West,206765,212892,450503,459209,445258,495800,438933,503465,661532,217245,224288,471417,475117,463290,487464,424324,473089,557228
Northern Ireland,56924,58131,123531,117535,114416,129750,123081,128671,163949,59060,61066,130157,122951,118896,126426,115344,120350,137589
Scotland,143268,146447,295973,332940,365592,401062,345682,403314,522258,149598,152892,310575,335276,362789,385533,327982,370003,428862
South East,259099,271420,576582,532413,550792,646700,614862,654385,915461,272398,284968,611103,573257,563647,626710,594869,623249,759609
South West,151550,156147,339906,330017,322802,372251,358300,432323,632999,159644,164076,354921,366063,337236,359769,338173,407464,532278
Wales,96104,88868,178576,187562,181579,195460,182713,222742,321962,100738,93042,188123,207422,196772,192336,174148,208616,266500
West Midlands,179041,180687,376104,379750,372349,398091,352441,393850,534004,187971,189444,395063,399112,390113,395644,344193,375329,447757
Yorkshire and the Humber,154930,157414,340354,365867,330806,365876,326628,372556,504040,162617,165566,354635,385139,344587,355964,318353,357274,422150
